Leaf	All	Syn	Mis	ORF10syn	ORF10mis
hCoV-19/USA/OH-CDC-LC0043999/2021|EPI_ISL_4376325|2021-03-30|R.1	20	7	12	0	0
hCoV-19/USA/OH-CDC-LC0044965/2021|EPI_ISL_4380929|2021-04-07|R.1	22	7	14	0	0
hCoV-19/USA/OH-CDC-QDX22903052/2021|EPI_ISL_4985532|2021-03-12|R.1	19	6	12	0	0
hCoV-19/USA/OH-CDC-STM-000001657/2021|EPI_ISL_967260|2021-01-12|B.1.1.316	14	3	11	0	0
hCoV-19/USA/OH-ODH-SC0158341/2020|EPI_ISL_2557308|2020-11-13|B.1.1.222	17	5	12	0	0
hCoV-19/USA/OH-ODH-SC1028295/2021|EPI_ISL_2497907|2021-01-07|B.1.1.222	17	5	12	0	0
hCoV-19/USA/OH-CDC-LC0034873/2021|EPI_ISL_4378792|2021-03-19|B.1.1.222	27	11	16	0	0
hCoV-19/USA/OH-CDC-QDX22292432/2021|EPI_ISL_4985271|2021-02-21|B.1.1.222	27	14	13	0	0
hCoV-19/USA/OH-ODH-SC1026117/2021|EPI_ISL_875514|2021-01-02|B.1.1.222	26	12	14	0	0
hCoV-19/USA/OH-ODH-SC173829/2020|EPI_ISL_890183|2020-12-03|B.1.1.222	22	11	11	0	0
hCoV-19/USA/OH-CDC-QDX23180377/2021|EPI_ISL_4369429|2021-03-18|B.1.1.291	18	13	5	1	1
hCoV-19/USA/OH-CDC-QDX23180351/2021|EPI_ISL_4367750|2021-03-18|B.1.1.291	18	13	5	1	1
hCoV-19/USA/OH-CDC-QDX22758838/2021|EPI_ISL_1340549|2021-03-07|B.1.1.291	15	10	5	1	1
hCoV-19/USA/OH-CDC-QDX22759676/2021|EPI_ISL_1340625|2021-03-07|B.1.1.291	15	10	5	1	1
hCoV-19/mink/Canada/B/2020|EPI_ISL_717715|2020-12-04|AW.1	19	8	11	0	0
hCoV-19/mink/Canada/BC-E/2020|EPI_ISL_717718|2020-12-04|AW.1	20	8	12	0	0
hCoV-19/mink/Canada/A/2020|EPI_ISL_717714|2020-12-04|AW.1	18	8	10	0	0
hCoV-19/mink/Canada/D/2020|EPI_ISL_717717|2020-12-04|AW.1	17	8	9	0	0
hCoV-19/mink/Canada/C/2020|EPI_ISL_717716|2020-12-04|AW.1	17	8	9	0	0
hCoV-19/USA/OH-ODH-SC069536/2020|EPI_ISL_2487260|2020-07-30|B.1.1.294	13	8	5	0	0
hCoV-19/USA/OH-CDC-QDX22025347/2021|EPI_ISL_1114611|2021-02-12|C.23	21	9	12	0	0
hCoV-19/USA/OH-CDC-IBX098396764841/2021|EPI_ISL_2313515|2021-03-20|C.23	20	10	10	0	0
hCoV-19/USA/OH-ODH-SC1034421/2021|EPI_ISL_1118920|2021-01-19|C.23	21	12	9	0	0
hCoV-19/USA/OH-CDC-QDX22759835/2021|EPI_ISL_4985872|2021-03-07|C.2.1	22	9	12	0	0
hCoV-19/USA/OH-21AM-019CO00145/2021|EPI_ISL_2100938|2021-01-19|C.31	22	9	13	0	0
hCoV-19/USA/OH-CDC-STM-000005937/2021|EPI_ISL_966887|2021-01-28|C.31	23	10	13	0	0
hCoV-19/USA/OH-21AM-012CO01374/2021|EPI_ISL_2100795|2021-01-12|C.31	21	9	12	0	0
hCoV-19/USA/OH-21AM-096CO00841/2021|EPI_ISL_2006968|2021-04-06|C.36.3	34	10	24	1	0
hCoV-19/USA/OH-21AM-097CO07271/2021|EPI_ISL_2006981|2021-04-07|C.36.3	35	9	26	1	0
hCoV-19/USA/OH-CDC-ASC210056319/2021|EPI_ISL_1996041|2021-04-11|C.36.3	44	13	31	1	0
hCoV-19/USA/OH-21AM-098CO01141/2021|EPI_ISL_2341381|2021-04-08|C.36.3	37	9	28	1	0
hCoV-19/USA/OH-21AM-098CO04571/2021|EPI_ISL_2341376|2021-04-08|C.36.3	35	9	26	1	0
hCoV-19/USA/OH-21AM-097CO04771/2021|EPI_ISL_2006979|2021-04-07|C.36.3	35	9	26	1	0
hCoV-19/USA/OH-GD-SID-21060608511/2021|EPI_ISL_3461191|2021-06-06|C.37	26	7	19	0	0
hCoV-19/USA/OH-GD-071321-21060608511/2021|EPI_ISL_2985616|2021-06-06|C.37	26	7	19	0	0
hCoV-19/USA/OH-UHTL-688/2021|EPI_ISL_2091082|2021-04-26|C.37	32	7	23	0	0
hCoV-19/USA/OH-CDC-LC0068473/2021|EPI_ISL_4374282|2021-05-24|C.37	31	9	21	0	0
hCoV-19/USA/OH-2211/2021|EPI_ISL_2467869|2021-04-07|C.37	26	7	19	0	0
hCoV-19/USA/OH-UHTL-556/2021|EPI_ISL_1714783|2021-04-12|C.37	33	10	21	0	0
hCoV-19/USA/OH-CDC-QDX23654996/2021|EPI_ISL_1738260|2021-04-05|C.37	27	8	19	0	0
hCoV-19/USA/OH-UHTL-791/2021|EPI_ISL_2193432|2021-05-06|C.37	35	11	24	0	0
hCoV-19/USA/OH-UHTL-686/2021|EPI_ISL_2091066|2021-05-01|B.1.1.372	31	9	22	0	0
hCoV-19/USA/OH-UHTL-793/2021|EPI_ISL_2193434|2021-05-06|C.37	31	8	23	0	0
hCoV-19/USA/OH-UHTL-792/2021|EPI_ISL_2193433|2021-05-06|C.37	30	9	21	0	0
hCoV-19/USA/OH-CDC-ASC210053134/2021|EPI_ISL_1836790|2021-04-08|P.2	18	4	14	0	0
hCoV-19/USA/OH-CDC-ASC210021777/2021|EPI_ISL_2482421|2021-03-26|P.2	16	4	12	0	0
hCoV-19/USA/OH-CDC-ASC210014090/2021|EPI_ISL_1559701|2021-03-21|P.2	21	8	13	0	0
hCoV-19/USA/OH-CDC-ASC210014078/2021|EPI_ISL_1559689|2021-03-21|P.2	21	8	13	0	0
hCoV-19/USA/OH-CDC-2-3923964/2021|EPI_ISL_1226164|2021-02-04|P.2	20	8	12	0	0
hCoV-19/USA/OH-CDC-ASC210012642/2021|EPI_ISL_1649361|2021-03-19|P.2	21	9	12	0	0
hCoV-19/USA/OH-21AM-049CO03822/2021|EPI_ISL_2200139|2021-02-18|P.2	19	7	12	0	0
hCoV-19/USA/OH-21AM-081CO03386/2021|EPI_ISL_2382780|2021-03-22|P.2	20	8	12	0	0
hCoV-19/USA/OH-21AM-083CO02567/2021|EPI_ISL_2200084|2021-03-24|P.2	19	8	11	0	0
hCoV-19/USA/OH-21AM-075CO01437/2021|EPI_ISL_2382512|2021-03-16|P.2	19	8	11	0	0
hCoV-19/USA/OH-21AM-082CO04839/2021|EPI_ISL_2382794|2021-03-23|B.1.1	12	3	9	0	0
hCoV-19/USA/OH-UHTL-1010/2021|EPI_ISL_2661547|2021-06-05|P.1	30	9	21	0	0
hCoV-19/USA/OH-UHTL-1031/2021|EPI_ISL_3462087|2021-06-23|P.1.10	33	10	23	0	0
hCoV-19/deer/USA/NY-21-038001-001/2021|EPI_ISL_9347709|2021-11-24|P.1	69	33	36	0	0
hCoV-19/USA/OH-UHTL-1033/2021|EPI_ISL_3462089|2021-06-21|P.1	39	10	29	0	0
hCoV-19/USA/OH-UHTL-1007/2021|EPI_ISL_2661544|2021-06-03|P.1	37	10	27	0	0
hCoV-19/USA/OH-UHTL-750/2021|EPI_ISL_2193391|2021-05-11|P.1	36	11	25	0	0
hCoV-19/USA/OH-UHTL-763/2021|EPI_ISL_2193404|2021-05-10|P.1	36	11	25	0	0
hCoV-19/USA/OH-UHTL-694/2021|EPI_ISL_2091058|2021-04-28|P.1	35	10	25	0	0
hCoV-19/USA/OH-UHTL-954/2021|EPI_ISL_2547301|2021-05-27|P.1	36	10	26	0	0
hCoV-19/USA/OH-UHTL-737/2021|EPI_ISL_2091114|2021-04-26|P.1	37	11	26	0	0
hCoV-19/USA/OH-UHTL-762/2021|EPI_ISL_2193403|2021-05-10|P.1	34	10	24	0	0
hCoV-19/USA/OH-UHTL-536/2021|EPI_ISL_1714763|2021-04-13|P.1	34	10	24	0	0
hCoV-19/USA/OH-CDC-QDX27053253/2021|EPI_ISL_3460801|2021-07-19|P.1.12	41	12	29	0	0
hCoV-19/USA/OH-CDC-LC0045553/2021|EPI_ISL_1799490|2021-04-14|P.1.13	34	8	26	0	0
hCoV-19/USA/OH-UHTL-956/2021|EPI_ISL_2547303|2021-05-27|P.1.10	36	9	27	0	0
hCoV-19/USA/OH-UHTL-743/2021|EPI_ISL_2193384|2021-05-11|P.1.10	36	8	28	0	0
hCoV-19/USA/OH-UHTL-759/2021|EPI_ISL_2193400|2021-05-11|P.1.10	36	8	28	0	0
hCoV-19/USA/OH-UHTL-799/2021|EPI_ISL_2193440|2021-05-03|P.1.10	38	12	26	0	0
hCoV-19/USA/OH-UHTL-795/2021|EPI_ISL_2193436|2021-05-08|P.1.10	37	10	27	0	0
hCoV-19/USA/OH-UHTL-696/2021|EPI_ISL_2091060|2021-04-30|P.1.10	38	10	28	0	0
hCoV-19/USA/OH-21AM-089CO03227/2021|EPI_ISL_2153789|2021-03-30|P.1.10	33	7	26	0	0
hCoV-19/USA/OH-21AM-081CO03802/2021|EPI_ISL_2200147|2021-03-22|P.1.10	33	7	26	0	0
hCoV-19/USA/OH-21AM-084CO01862/2021|EPI_ISL_2200131|2021-03-25|P.1.10	33	7	26	0	0
hCoV-19/USA/OH-3017/2021|EPI_ISL_3091533|2021-07-15|P.1.17	37	12	25	0	0
hCoV-19/USA/OH-CDC-ASC210037001/2021|EPI_ISL_2159209|2021-04-30|P.1.17	36	10	26	0	0
hCoV-19/USA/OH-GD-SID-21051835924/2021|EPI_ISL_2614052|2021-05-18|P.1.17	36	9	27	0	0
hCoV-19/USA/OH-ODH-SC1057168/2021|EPI_ISL_2756219|2021-05-03|P.1.17	37	10	27	0	0
hCoV-19/USA/OH-CDC-2-4332012/2021|EPI_ISL_2105214|2021-04-21|P.1.17	37	10	27	0	0
hCoV-19/USA/OH-CDC-2-4331904/2021|EPI_ISL_2105172|2021-04-23|P.1.17	37	10	27	0	0
hCoV-19/USA/OH-21AM-106CO04632/2021|EPI_ISL_2006997|2021-04-16|P.1.17	36	9	27	0	0
hCoV-19/USA/OH-CDC-LC0055959/2021|EPI_ISL_2046342|2021-04-27|P.1.17	39	9	30	0	0
hCoV-19/USA/OH-CDC-LC0051589/2021|EPI_ISL_1928771|2021-04-21|P.1.17	36	9	27	0	0
hCoV-19/USA/OH-CDC-QDX23804254/2021|EPI_ISL_1818067|2021-04-09|P.1.17	34	9	25	0	0
hCoV-19/USA/OH-2917/2021|EPI_ISL_2758913|2021-06-08|B.1.1.318	43	13	28	0	0
hCoV-19/USA/OH-2940/2021|EPI_ISL_2758934|2021-06-07|B.1.1.318	31	10	20	0	0
hCoV-19/USA/OH-2934/2021|EPI_ISL_2758928|2021-06-11|B.1.1.318	29	9	19	0	0
hCoV-19/USA/OH-CDC-ASC210074173/2021|EPI_ISL_4365484|2021-04-18|B.1.1.318	24	9	14	0	0
hCoV-19/USA/OH-CDC-ASC210053063/2021|EPI_ISL_4365596|2021-04-08|B.1.1.318	25	6	18	0	0
hCoV-19/USA/OH-CDC-ASC210071115/2021|EPI_ISL_4364573|2021-04-15|B.1.1.318	25	6	18	0	0
hCoV-19/USA/OH-CDC-ASC210007564/2021|EPI_ISL_1561398|2021-03-13|B.1.1.318	29	9	19	0	0
hCoV-19/USA/OH-CDC-LC0045876/2021|EPI_ISL_4378162|2021-04-09|AZ.3	22	6	15	0	0
hCoV-19/USA/OH-CDC-LC0068156/2021|EPI_ISL_4380817|2021-05-26|AZ.3	22	6	15	0	0
hCoV-19/USA/OH-CDC-22029419/2021|EPI_ISL_1291989|2021-02-11|B.1.1.207	20	7	13	0	0
hCoV-19/USA/OH-CDC-QDX22029419/2021|EPI_ISL_1159485|2021-02-11|B.1.1.207	20	7	13	0	0
hCoV-19/USA/OH-CDC-QDX22720706/2021|EPI_ISL_1314663|2021-03-03|B.1.1.207	19	7	12	0	0
hCoV-19/USA/OH-CDC-QDX22860769/2021|EPI_ISL_1367213|2021-03-10|B.1.1.207	20	7	13	0	0
hCoV-19/USA/OH-CDC-QDX22550062/2021|EPI_ISL_1291053|2021-03-01|B.1.1.207	19	6	13	0	0
hCoV-19/USA/OH-CDC-QDX22292363/2021|EPI_ISL_1220473|2021-02-21|B.1.1.207	18	6	12	0	0
hCoV-19/USA/OH-CDC-QDX22214983/2021|EPI_ISL_1193835|2021-02-19|B.1.1.207	18	6	12	0	0
hCoV-19/USA/OH-CDC-ASC210000938/2021|EPI_ISL_1445452|2021-03-02|B.1.1.207	18	6	12	0	0
hCoV-19/USA/OH-21AM-014CO01632/2021|EPI_ISL_2100842|2021-01-14|B.1.1.207	16	6	10	0	0
hCoV-19/USA/OH-21AM-013CO01269/2021|EPI_ISL_2100820|2021-01-13|B.1.1.207	16	6	10	0	0
hCoV-19/USA/OH-21AM-097CO02672/2021|EPI_ISL_2341373|2021-04-07|B.1.1	26	8	17	0	0
hCoV-19/USA/OH-21AM-057CO05064/2021|EPI_ISL_2399736|2021-02-26|B.1.1	32	6	25	0	0
hCoV-19/USA/OH-21AM-083CO05212/2021|EPI_ISL_2200128|2021-03-24|B.1.1.7	27	5	21	0	0
hCoV-19/USA/OH-21AM-082CO04745/2021|EPI_ISL_2382796|2021-03-23|B.1.1.7	25	6	18	0	0
hCoV-19/USA/OH-21AM-097CO00042/2021|EPI_ISL_2341364|2021-04-07|B.1.1.7	36	10	25	0	0
hCoV-19/USA/OH-21AM-097CO05646/2021|EPI_ISL_2341369|2021-04-07|B.1.1.7	42	13	27	0	0
hCoV-19/USA/OH-21AM-089CO05554/2021|EPI_ISL_2153778|2021-03-30|B.1.1.7	42	13	27	0	0
hCoV-19/USA/OH-21AM-083CO02305/2021|EPI_ISL_2382803|2021-03-24|B.1.1.7	43	12	29	0	0
hCoV-19/USA/OH-UHTL-787/2021|EPI_ISL_2193428|2021-05-04|B.1.1.7	43	12	27	0	0
hCoV-19/deer/USA/PA-VSP3574/2021|EPI_ISL_9654444|2021-11-27|B.1.1.7	74	30	41	0	0
hCoV-19/USA/OH-CDC-LC0045253/2021|EPI_ISL_1799237|2021-04-14|Q.1	41	14	25	0	0
hCoV-19/USA/OH-CDC-ASC210029237/2021|EPI_ISL_2040231|2021-04-21|Q.1	40	13	25	0	0
hCoV-19/USA/OH-CDC-ASC210070333/2021|EPI_ISL_4360596|2021-04-14|B.1.1.7	40	13	25	0	0
hCoV-19/deer/USA/PA-21-038768-002/2021|EPI_ISL_9347719|2021-11-28|B.1.1.7	74	31	41	0	1
hCoV-19/deer/USA/PA-VSP3516/2021|EPI_ISL_9651200|2021-10-22|B.1.1.7	62	26	35	1	1
hCoV-19/deer/USA/OH-OSU-1331/2021|B.1.1.7|Brown|U|2021-11-13	60	22	37	1	0
hCoV-19/deer/USA/OH-OSU-1338/2021|B.1.1.7|Brown|U|2021-11-13	65	25	39	0	0
hCoV-19/deer/USA/OH-OSU-2153/2021|B.1.1.7|Meigs|R|2021-12-04	70	27	42	0	0
hCoV-19/deer/USA/OH-OSU-1335/2021|B.1.1.7|Brown|U|2021-11-13	65	27	37	0	1
hCoV-19/USA/OH-UHTL-177/2021|EPI_ISL_1240743|2021-03-07|B.1.1.7	41	13	27	0	0
hCoV-19/USA/OH-UHTL-129/2021|EPI_ISL_1240761|2021-02-26|B.1.1.7	46	16	29	0	0
hCoV-19/deer/USA/OH-OSU-2077/2021|B.1.1.7|Highland|R|2021-12-04	83	39	41	0	0
hCoV-19/deer/USA/OH-OSU-1403/2021|B.1.1.7|Highland|R|2021-11-08	74	33	38	1	0
hCoV-19/deer/USA/OH-OSU-1459/2021|B.1.1.7|Pickaway|U|2021-11-13	82	35	46	1	1
hCoV-19/deer/USA/OH-OSU-1480/2021|B.1.1.7|Pickaway|U|2021-11-13	80	35	44	1	1
hCoV-19/deer/USA/OH-OSU-1490/2021|B.1.1.7|Pickaway|U|2021-11-13	79	35	43	1	1
hCoV-19/USA/OH-CDC-ASC210035307/2021|EPI_ISL_2039388|2021-04-28|Q.3	43	12	30	0	0
hCoV-19/USA/OH-UHTL-990/2021|EPI_ISL_2661527|2021-06-07|Q.3	41	12	28	0	0
hCoV-19/USA/OH-CDC-ASC210073624/2021|EPI_ISL_2041995|2021-04-17|Q.3	41	12	28	0	0
hCoV-19/USA/OH-CDC-ASC210072488/2021|EPI_ISL_2202084|2021-04-16|Q.3	41	13	27	0	0
hCoV-19/USA/OH-CDC-ASC210062541/2021|EPI_ISL_2181651|2021-05-11|Q.3	41	12	28	0	0
hCoV-19/USA/OH-CDC-ASC210020903/2021|EPI_ISL_1650113|2021-03-26|Q.3	40	12	27	0	0
hCoV-19/USA/OH-CDC-ASC210054841/2021|EPI_ISL_1996463|2021-04-10|Q.3	40	12	27	0	0
hCoV-19/USA/OH-CDC-ASC210069135/2021|EPI_ISL_1999097|2021-04-13|Q.3	40	12	27	0	0
hCoV-19/USA/OH-CDC-ASC210019477/2021|EPI_ISL_1650705|2021-03-25|Q.3	40	12	27	0	0
hCoV-19/USA/OH-21AM-091CO01781/2021|EPI_ISL_2153776|2021-04-01|Q.3	40	12	27	0	0
hCoV-19/USA/OH-21AM-096CO04511/2021|EPI_ISL_2341366|2021-04-06|B.1.1	15	4	10	0	0
hCoV-19/USA/OH-UHTL-744/2021|EPI_ISL_2193385|2021-05-11|B.1.1	13	5	8	0	0
hCoV-19/USA/OH-UHTL-368/2021|EPI_ISL_1472398|2021-03-25|B.1.1	14	6	8	0	0
hCoV-19/USA/OH-UHTL-372/2021|EPI_ISL_1472402|2021-03-28|B.1.1	14	6	8	0	0
hCoV-19/USA/OH-UHTL-741/2021|EPI_ISL_2091118|2021-04-26|B.1.1.519	15	6	9	0	0
hCoV-19/USA/OH-UHTL-800/2021|EPI_ISL_2193441|2021-05-08|B.1.1.519	16	6	10	0	0
hCoV-19/USA/OH-UHTL-703/2021|EPI_ISL_2091053|2021-04-28|B.1.1.519	20	11	9	0	0
hCoV-19/USA/OH-21AM-086CO02143/2021|EPI_ISL_2200079|2021-03-27|B.1.1.222	20	8	12	0	0
hCoV-19/USA/OH-21AM-086CO00960/2021|EPI_ISL_2200103|2021-03-27|B.1.1.222	20	8	12	0	0
hCoV-19/USA/OH-21AM-067CO00572/2021|EPI_ISL_2399670|2021-03-08|B.1.1.519	20	9	11	0	0
hCoV-19/USA/OH-21AM-051CO00816/2021|EPI_ISL_2382467|2021-02-20|B.1.1.519	20	8	12	0	0
hCoV-19/USA/OH-21AM-055CO02525/2021|EPI_ISL_2399710|2021-02-24|B.1.1.519	19	8	11	0	0
hCoV-19/USA/OH-21AM-054CO02001/2021|EPI_ISL_2399704|2021-02-23|B.1.1.519	19	8	11	0	0
hCoV-19/USA/OH-21AM-061CO01893/2021|EPI_ISL_2399587|2021-03-02|B.1.1.519	19	8	11	0	0
hCoV-19/USA/OH-21AM-062CO00058/2021|EPI_ISL_2399601|2021-03-03|B.1.1.519	19	8	11	0	0
hCoV-19/USA/OH-21AM-062CO05573/2021|EPI_ISL_2399634|2021-03-03|B.1.1.519	19	8	11	0	0
hCoV-19/USA/OH-CDC-FG-236971/2022|EPI_ISL_8936622|2022-01-04|B.1.1.451	30	9	21	0	0
hCoV-19/USA/OH-CDC-ASC210631691/2021|EPI_ISL_8289618|2021-12-19|Unassigned	31	9	22	0	0
hCoV-19/USA/OH-CDC-ASC210573542/2021|EPI_ISL_8719821|2021-12-29|Unassigned	40	10	30	0	0
